Tarefa,Fase,Sprint,Status,Categoria,Prioridade,Notas
"Definição de produto, features e roadmap",A,-,Done,Planejamento,Alto,"CLAUDE.md §1-2"
"Stack técnico fechado + ADRs base",A,-,Done,Planejamento,Alto,"CLAUDE.md §2, §13 — 35 ADRs registradas"
"Onboarding wizard — 25 variáveis em 6 steps",A,-,Done,Planejamento,Alto,"CLAUDE.md §9"
"Schema do banco — 17 tabelas + DDL + RLS",A,-,Done,Schema,Alto,"CLAUDE.md §4 (inclui plan_quotas + tenant_usage + internal_links anti-órfã)"
"Arquitetura dos 5 agentes + guardrails Asimov",A,-,Done,Planejamento,Alto,"CLAUDE.md §5"
"Alicerce arquitetural fechado — 35 ADRs",A,-,Done,Planejamento,Crítico,"Codinome HARPIA + tipo de site não-ecommerce + hospedagem CF Pages+Vercel + storage R2 + Resend + Inngest + Sentry/PostHog + UX cocktail + Stripe BR + inadimplência 90d + MVP A scope + modelo agentes de dev + North Star SEO/GEO/AEO + 8 regras AEO"
"Prompts v1 — Bloco 0 (Global)",A,-,Done,Prompts,Crítico,"prompts/global/bloco-0.md, §2 corrigido (CPF universal)"
"Prompts v1 — Bloco 1 (Agente Onboarding)",A,-,Done,Prompts,Crítico,"prompts/agents/onboarding.md. Precisa refatorar pra remover duplicação com Bloco 0"
"Refatorar Bloco 1 (remover duplicação com Bloco 0)",A,-,A fazer,Prompts,Alto,"Tirar regras universais que vazaram pro Bloco 1"
"Prompts v1 — Bloco 2 (Agente Blog)",A,-,A fazer,Prompts,Crítico,"Próximo da fila. Inclui editor 3 modos + tool de web search"
"Prompts v1 — Bloco 3 (Agente GBP)",A,-,A fazer,Prompts,Alto,
"Prompts v1 — Bloco 4 (Agente Auditoria)",A,-,A fazer,Prompts,Alto,"Modelo Haiku (análise)"
"Prompts v1 — Bloco 5 (Agente Multilíngue)",A,-,A fazer,Prompts,Médio,"Fase B (MVP B)"
"Prompts v1 — Bloco 6 (Nicho Clínica)",A,-,A fazer,Prompts,Alto,
"Prompts v1 — Bloco 7 (Nicho Imobiliária)",A,-,A fazer,Prompts,Alto,
"Prompts v1 — Bloco 8 (Nicho Serviços)",A,-,A fazer,Prompts,Alto,
"Prompts v1 — Bloco 9 (Nicho Institucional)",A,-,A fazer,Prompts,Médio,
"Prompts v1 — Bloco 10 (Nicho Restaurante)",A,-,A fazer,Prompts,Médio,
"Prompts v1 — Bloco 11 (Nicho Salão)",A,-,A fazer,Prompts,Médio,
"Prompts v1 — Bloco 12 (Nicho Escola)",A,-,A fazer,Prompts,Médio,
"Prompts v1 — Bloco 13 (Nicho Landing)",A,-,A fazer,Prompts,Médio,
"Prompts v1 — Blocos de nichos regulados (advocacia/contabilidade/psicologia/odontologia/fisioterapia/veterinaria)",A,-,A fazer,Prompts,Alto,"6 novos nichos adicionados — precisam de blocos de prompt com restrições regulatórias. Ver docs/NICHOS.md"
"ARCHITECTURE.md — documento de arquitetura formal",A,-,Done,Planejamento,Crítico,"docs/ARCHITECTURE.md — 12 seções"
"North Star definido (foco SEO/GEO/AEO imutável)",A,-,Done,Planejamento,Crítico,"NORTH-STAR.md"
"8 regras de arquitetura AEO (mandato técnico)",A,-,Done,Planejamento,Crítico,"docs/AEO-ARCHITECTURE-RULES.md"
"Estrutura seo-rules/ — YAMLs mutáveis",A,-,Em andamento,Schema,Alto,"ai-bots.yaml criado. Faltam YAMLs por nicho"
"Setup agentes de dev (Claude Code + Cursor)",A,-,Done,Planejamento,Crítico,"3 agentes + 8 skills + 3 commands + 6 cursor rules"
"Expansão de nichos — 14 presets (era 8)",A,-,Done,Planejamento,Alto,"advocacia contabilidade psicologia odontologia fisioterapia veterinaria + 8 originais. docs/NICHOS.md + migration 20260604120000_expand_nichos.sql"
"Design system — paleta azul + tokens CSS aplicados",A,-,Done,Design,Alto,"globals.css paleta azul (#2563eb). Plus Jakarta Sans + Inter via next/font. tailwind.config.ts atualizado"
"S1 — Infra base: Next.js 14 + Supabase + Auth + Vercel",C,S1,Done,Backend,Crítico,"Supabase (HARP.IA SP) + 17 tabelas + RLS + Auth email + Next.js 14 + GitHub (CassioBranco/HARP.IA) + Vercel harp-ia.vercel.app. Auto-deploy no push do master"
"S1.1 — Landing page (Apresentação)",C,S1,Done,Frontend,Crítico,"app/page.tsx — hero, como funciona, pilares SEO/GEO/AEO, planos, CTA. Design HARPIA azul"
